指标,企业单位数(个),亏损企业,工业总产值(当年价格),工业销售产值(当年价格),出口交货值,年初存货,产成品,资产总计,流动资产合计,应收账款,存货,产成品,固定资产合计,固定资产原价,累计折旧,本年折旧,负债合计,流动负债合计,应付账款,非流动负债合计,所有者权益合计,实收资本,国家资本,集体资本,法人资本,个人资本,外商资本,营业收入,主营业务收入,营业成本,主营业务成本,营业税金及附加,主营业务税金及附加,其他业务收入,其他业务利润,销售费用,管理费用,税金,财务费用,利息收入,利息支出,营业利润,资产减值损失,投资收益,营业外收入,补贴收入,营业外支出,利润总额,所得税费用,亏损企业亏损总额,利税总额,应交税金及附加,本年应付职工薪酬,本年应交增值税,总资产贡献率(%),资产负债率(%),流动资产周转率(次/年),产品销售率(%),从业人员平均人数,从业人员期末人数,平均用工人数,期末用工人数
石油加工、炼焦和核燃料加工业 ,1,0,4.79,4.5,0,0.52,0,1.1,0.88,0.26,0.24,0.18,0.21,0.4,0.19,0.07,0.78,0.78,0,0,0.32,0.5,0,0,0,0.5,0,4.45,4.45,4.15,4.15,0,0,0,0,0.04,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,1.2,70.66,5.04,94.01,0.0067,0.0066,0.0067,0.01
化学原料和化学制品制造业,7,0,8.04,6.72,0,0.23,0.04,5.75,2.48,0.85,0.41,0.18,2.38,3.15,0.83,0.14,3.89,3.51,1.51,0.38,1.86,1.23,0,0,0.49,0.74,0,7.44,7.44,5.77,5.77,0.01,0.01,0,0,0.59,0.82,0,0.01,0,0.01,0.24,0,0,0,0,0,0.24,0.01,0,0.34,0.11,0.32,0.08,6.04,67.62,3.01,83.69,0.0492,0.05,0.0508,0.05
医药制造业 ,3,0,14.1,11.76,0,0.65,0.47,5.9,4.62,1.5,0.76,0.61,0.47,0.91,0.44,0.05,2.32,2.2,0.52,0.11,3.59,0.25,0,0,0,0.25,0,8.65,8.65,6.72,6.72,0.04,0.04,0,0,0.62,0.26,0.01,0.01,0,0,0.98,0.01,0,0.42,0,0.06,1.34,0.16,0,1.72,0.54,0.2,0.34,29.12,39.23,1.87,83.4,0.0484,0.0508,0.0486,0.05
橡胶和塑料制品业,6,2,11.14,10.8,0,0.24,0.11,5.42,1.64,0.64,0.67,0.46,3.41,3.66,0.33,0.13,4.2,3.55,1.01,0,1.23,1.37,1,0,0.18,0.19,0,10.36,10.35,10.07,10.04,0.04,0.04,0.01,-0.05,0.08,0.19,0,0.1,0,0.1,-0.12,0,0,0.01,0.01,0,-0.12,0,0.17,-0.05,0.07,0.17,0.03,0.88,77.35,6.32,96.97,0.0418,0.0454,0.0432,0.05
非金属矿物制品业,58,9,217.67,211.53,0,5.2,1.93,112.87,34.6,11.96,6.79,4.05,58.01,89.79,34.64,7.73,54.38,45.96,8.41,6.06,58.49,25.52,0.88,0.12,15.36,9.16,0,175.29,175.24,157.77,157.72,0.93,0.93,0.05,0.01,4.51,7.74,0.26,2.59,0,1.64,1.7,0.1,0.06,1.15,0.13,0.52,2.33,0.62,3.63,6.31,4.86,3.64,3.04,7.04,48.18,5.07,97.18,0.9687,0.9852,0.9969,0.9
黑色金属冶炼和压延加工业 ,2,0,4.15,3.69,0,1.17,0.7,3.39,2.53,0.42,1.7,0.7,0.48,1.4,0.92,0.17,2.79,2.64,0.07,0,0.6,0.55,0,0,0,0.55,0,3.69,3.69,3.26,3.26,0.01,0.01,0,0,0.04,0.05,0,0.06,0,0.06,0.27,0,0,0,0,0.01,0.26,0.07,0,0.28,0.09,0.07,0.01,10.3,82.22,1.46,88.78,0.0308,0.031,0.031,0.03
有色金属冶炼和压延加工业 ,4,3,6.33,4.33,0,24.7,0.06,47.15,31.9,0.25,25.68,0.22,3.39,12.71,9.32,0.13,44.05,32.24,1.18,11.76,3.1,4.06,1.49,0.02,0,2.55,0,7.27,6.26,6.29,6.03,0,0,1.01,0,0.05,0.3,0,1.58,0,1.58,-0.95,0,0,0.93,0,0.02,-0.05,0,0.07,-0.04,0.01,1.19,0.01,3.26,93.42,0.23,68.43,0.2215,0.2251,0.2217,0.22
金属制品业 ,2,1,2.17,2.03,0,0.34,0.02,3.67,1.49,0.7,0.39,0.02,1.99,2.47,0.48,0.09,4.25,4.25,0.78,0,-0.58,1.23,1.2,0,0,0.03,0,1.19,1.1,1.09,1.02,0.01,0.01,0.09,0,0.08,0.15,0.02,0.12,0.12,0,-0.31,0.05,0,0.01,0.01,0.01,-0.31,0,0.32,-0.28,0.05,0.26,0.01,-10.97,115.78,0.79,93.74,0.0572,0.057,0.0589,0.06
通用设备制造业,2,0,7.44,6.43,0,0.17,0.11,2.46,1.2,0.48,0.24,0.13,1.19,2.11,0.93,0.15,0.82,0.82,0.24,0,1.63,0.21,0,0,0.01,0.2,0,5.97,5.97,5.3,5.3,0.01,0.01,0,0,0.12,0.17,0.02,0.03,0,0.03,0.35,0,0,0,0,0,0.35,0.08,0,0.39,0.14,0.22,0.03,16.98,33.46,4.97,86.52,0.018,0.018,0.0178,0.02
专用设备制造业 ,7,1,11.93,11.04,0,0.36,0.03,9.46,5.4,2.81,0.84,0.03,0.67,0.86,0.22,0.06,5.18,3.35,1.55,1.83,4.28,4.14,3.49,0,0.13,0.52,0,10.85,10.85,10.15,10.15,0.02,0.02,0.01,0,0.13,0.23,0.02,0.05,0,0.02,0.27,0,0,0,0,0.02,0.26,0.08,0.1,0.33,0.19,0.34,0.06,3.73,54.73,2.01,92.52,0.0738,0.0789,0.0907,0.08
汽车制造业,2,2,3.94,3.5,0,2.03,0.62,13.66,8.53,0.71,2.2,0.88,4.88,3.18,0.99,0.03,11.29,9.72,2.12,1.58,2.36,2.54,2.5,0,0.04,0,0,3.46,3.42,3.17,3.11,0,0,0.04,0,0.19,0.17,0,0.23,0.26,0.06,-0.28,0,0.02,0.05,0.02,0,-0.24,0,0.24,-0.2,0.04,0.6,0.04,-2.93,82.71,0.41,88.72,0.1155,0.1136,0.1155,0.11
电气机械和器材制造业 ,7,0,8.51,8.26,0,0.33,0.11,2.27,1.37,0.32,0.56,0.46,0.84,0.94,0.3,0.03,0.78,0.64,0.11,0,1.49,0.57,0,0,0.19,0.39,0,6.38,6.38,5.82,2.84,0.02,0.02,0,0,0.08,0.15,0.01,0.02,0,0.01,0.29,0,0,0,0,0,0.29,0.01,0,0.4,0.12,0.14,0.08,17.93,34.37,4.66,97.09,0.0533,0.0555,0.0516,0.05
其他制造业,1,0,9.02,9,0,0.02,0,1.02,0.88,0.02,0.03,0,0.07,0.14,0.07,0.02,1.02,1.02,0.07,0,0,0.05,0,0,0.05,0,0,8.65,8.65,8.62,8.62,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.25,99.67,9.82,99.71,0.0065,0.007,0.0065,0.01
电力、热力生产和供应业,2,0,31.96,31.96,0,0.53,0,47.76,5.26,1.45,0.67,0,42.46,59.23,18.03,3.4,29.41,22.21,4.19,7.2,18.36,11.16,11.16,0,0,0,0,32.54,32.31,26.45,25.45,0.21,0.21,0.23,-0.79,0,0,0,0.89,0.03,0.92,4.7,0.3,0.01,0.19,0.17,0.04,4.84,0.03,0,7.16,2.34,1.49,2.1,16.84,61.57,6.18,100,0.1637,0.1636,0.1633,0.16
燃气生产和供应业  ,2,0,3.83,3.83,0,0,0,6.45,3.97,0.13,0.01,0,2.44,3.16,0.72,0.56,2.79,1.34,0.07,1.03,3.66,0.79,0.38,0,0.41,0,0,3.86,3.37,3.32,2.92,0.04,0.04,0.5,0,0.12,0.15,0,0.01,0,0.01,0.22,0,0,0,0,0,0.21,0,0,0.37,0.15,0.15,0.11,5.92,43.24,0.97,100,0.0345,0.0354,0.0336,0.03
水的生产和供应业  ,2,2,0.48,0.45,0,0.01,0,1.5,0.54,0.04,0.02,0,0.4,1.19,0.8,0.08,0.75,0.73,0.02,0.02,0.75,0.5,0.5,0,0,0,0,0.52,0.51,0.41,0.39,0.01,0.01,0.01,0,0.02,0.18,0.01,0,0,0,-0.1,0,0,0.02,0.02,0.01,-0.09,0,0.09,-0.06,0.03,0.17,0.02,-4.39,50.24,0.97,95.32,0.0492,0.0492,0.0492,0.05
